
iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

   0,      5.801e-01,        1.000e+00,        9.946e-01,  152.906,  

   1,      9.714e-02,        2.761e-01,        2.746e-01,  123.964,  1.000e+00
   2,      1.649e-02,        5.593e-02,        5.563e-02,   62.276,  1.000e+00
   3,      1.103e-02,        4.471e-02,        4.447e-02,   60.985,  1.000e+00
   4,      1.288e-03,        1.141e-02,        1.135e-02,  121.413,  1.000e+00
   5,      4.884e-04,        3.750e-03,        3.730e-03,   93.332,  1.000e+00
   6,      2.442e-04,        1.236e-03,        1.230e-03,   93.774,  1.000e+00
   7,      2.006e-04,        2.517e-03,        2.503e-03,  132.759,  1.000e+00
   8,      1.956e-04,        2.096e-03,        2.085e-03,  132.942,  1.000e+00
   9,      1.810e-04,        1.429e-03,        1.422e-03,  131.191,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  10,      1.722e-04,        3.840e-03,        3.820e-03,  127.601,  5.000e-01
  11,      1.598e-04,        3.228e-03,        3.211e-03,  127.581,  5.000e-01
  12,      1.223e-04,        9.861e-04,        9.808e-04,  121.283,  1.000e+00
  13,      9.798e-05,        7.730e-04,        7.689e-04,  118.013,  1.000e+00
  14,      9.640e-05,        4.486e-03,        4.462e-03,   54.618,  5.000e-01
  15,      6.022e-05,        5.404e-04,        5.375e-04,   66.581,  1.000e+00
  16,      4.595e-05,        1.271e-03,        1.264e-03,   56.587,  1.000e+00
  17,      3.086e-05,        2.008e-03,        1.997e-03,   55.071,  3.125e-02
  18,      2.018e-05,        2.102e-03,        2.090e-03,   53.997,  6.250e-02
  19,      2.017e-05,        2.102e-03,        2.091e-03,   53.888,  1.562e-02

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  20,      8.333e-06,        1.017e-03,        1.012e-03,   53.631,  1.000e+00
  21,      3.758e-06,        3.760e-04,        3.740e-04,   59.377,  1.000e+00
  22,      2.996e-06,        2.596e-04,        2.582e-04,  111.928,  1.000e+00
  23,      2.330e-06,        1.300e-04,        1.293e-04,   74.581,  1.000e+00
  24,      1.908e-06,        2.748e-04,        2.733e-04,   53.160,  5.000e-01
  25,      1.879e-06,        3.292e-04,        3.274e-04,   54.288,  5.000e-01
  26,      1.852e-06,        4.246e-04,        4.223e-04,   56.770,  1.000e+00
  27,      1.404e-06,        2.434e-04,        2.421e-04,   60.859,  1.000e+00
  28,      1.167e-06,        1.127e-04,        1.121e-04,   86.777,  1.000e+00
  29,      1.010e-06,        1.106e-04,        1.100e-04,  114.831,  2.500e-01

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  30,      1.008e-06,        1.174e-04,        1.168e-04,  117.420,  6.250e-02
  31,      9.642e-07,        9.175e-05,        9.126e-05,  109.540,  1.000e+00
  32,      8.635e-07,        6.078e-05,        6.046e-05,  112.307,  1.000e+00
  33,      8.193e-07,        5.357e-05,        5.328e-05,   90.282,  6.250e-02
  34,      8.062e-07,        4.568e-05,        4.543e-05,   93.192,  1.000e+00
  35,      7.328e-07,        1.272e-04,        1.265e-04,  123.783,  2.500e-01
  36,      6.926e-07,        1.057e-04,        1.052e-04,  123.590,  2.500e-01
  37,      5.983e-07,        2.840e-05,        2.825e-05,   92.617,  1.000e+00
  38,      5.861e-07,        3.007e-05,        2.991e-05,   78.739,  1.000e+00
  39,      4.880e-07,        5.021e-05,        4.994e-05,   60.253,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  40,      3.246e-07,        4.887e-05,        4.861e-05,   57.186,  1.000e+00
  41,      3.100e-07,        2.294e-05,        2.281e-05,   63.973,  1.000e+00
  42,      3.013e-07,        1.654e-05,        1.645e-05,  105.046,  1.000e+00
  43,      2.937e-07,        2.208e-05,        2.196e-05,  116.908,  1.000e+00
  44,      2.604e-07,        3.808e-05,        3.788e-05,  121.899,  1.000e+00
  45,      1.912e-07,        2.194e-05,        2.182e-05,  119.732,  1.000e+00
  46,      1.191e-07,        2.055e-05,        2.044e-05,   63.295,  1.000e+00
  47,      1.086e-07,        1.851e-05,        1.841e-05,   66.786,  1.000e+00
  48,      1.008e-07,        1.115e-05,        1.109e-05,  121.867,  2.500e-01
  49,      9.792e-08,        1.405e-05,        1.398e-05,  128.871,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  50,      9.535e-08,        1.606e-05,        1.598e-05,  128.687,  2.000e+00
  51,      9.252e-08,        8.358e-06,        8.313e-06,  120.722,  4.000e+00
  52,      8.735e-08,        1.113e-05,        1.107e-05,  125.272,  1.000e+00
  53,      8.666e-08,        7.606e-06,        7.565e-06,  122.146,  1.000e+00
  54,      8.451e-08,        5.215e-06,        5.187e-06,  103.400,  1.000e+00
  55,      7.902e-08,        4.687e-06,        4.662e-06,  100.363,  1.000e+00
  56,      4.615e-08,        3.968e-05,        3.946e-05,   50.964,  1.000e+00
  57,      4.547e-08,        3.956e-05,        3.935e-05,   51.670,  2.500e-01
  58,      4.184e-08,        2.364e-05,        2.351e-05,   50.390,  1.000e+00
  59,      3.896e-08,        1.812e-05,        1.802e-05,   50.537,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  60,      3.393e-08,        1.596e-05,        1.588e-05,   55.182,  1.000e+00
  61,      3.122e-08,        4.962e-06,        4.935e-06,  113.815,  3.125e-02
  62,      3.094e-08,        4.319e-06,        4.296e-06,   56.404,  1.000e+00
  63,      3.093e-08,        7.118e-06,        7.080e-06,   54.503,  2.500e-01
  64,      3.056e-08,        3.672e-06,        3.652e-06,   57.683,  1.000e+00
  65,      3.015e-08,        2.653e-06,        2.638e-06,   76.438,  1.000e+00
  66,      2.926e-08,        2.648e-06,        2.634e-06,   71.589,  1.000e+00
  67,      2.059e-08,        2.329e-05,        2.317e-05,   50.823,  2.500e-01
  68,      2.008e-08,        2.165e-05,        2.153e-05,   50.724,  2.500e-01
  69,      1.602e-08,        6.023e-06,        5.990e-06,   50.576,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  70,      1.594e-08,        1.030e-05,        1.025e-05,  120.027,  1.000e+00
  71,      1.540e-08,        1.942e-06,        1.931e-06,   53.049,  1.000e+00
  72,      1.520e-08,        1.983e-06,        1.972e-06,   51.651,  1.000e+00
  73,      1.511e-08,        2.026e-06,        2.015e-06,   50.896,  1.000e+00
  74,      1.495e-08,        2.000e-06,        1.989e-06,   50.856,  2.000e+00
  75,      1.470e-08,        1.349e-05,        1.342e-05,  119.369,  1.250e-01
  76,      1.378e-08,        7.189e-06,        7.151e-06,   52.281,  1.000e+00
  77,      1.309e-08,        7.923e-06,        7.880e-06,   53.116,  1.000e+00
  78,      1.266e-08,        2.799e-06,        2.784e-06,   51.099,  1.000e+00
  79,      1.251e-08,        1.583e-06,        1.575e-06,   70.094,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

