
iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

   0,      4.937e+02,        1.000e+00,        6.030e-01,  1.000e+00,  

   1,      3.834e+02,        1.407e+00,        8.482e-01,  1.221e-04,  
   2,      2.959e+02,        8.325e-01,        5.020e-01,  1.000e+00,  
   3,      2.828e+02,        8.019e-01,        4.835e-01,  1.000e+00,  
   4,      1.770e+02,        6.517e-01,        3.929e-01,  1.000e+00,  
   5,      6.838e+01,        7.635e-01,        4.604e-01,  1.000e+00,  
   6,      6.342e+01,        1.609e+00,        9.700e-01,  9.766e-04,  
   7,      5.619e+01,        3.698e-01,        2.230e-01,  1.221e-04,  
   8,      5.310e+01,        4.071e-01,        2.454e-01,  1.000e+00,  
   9,      4.599e+01,        4.086e-01,        2.464e-01,  6.250e-02,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  10,      4.125e+01,        3.542e-01,        2.136e-01,  1.000e+00,  
  11,      3.880e+01,        3.612e-01,        2.178e-01,  1.000e+00,  
  12,      3.789e+01,        1.609e+00,        9.704e-01,  1.953e-03,  
  13,      3.737e+01,        3.501e-01,        2.111e-01,  1.221e-04,  
  14,      3.664e+01,        3.539e-01,        2.134e-01,  1.000e+00,  
  15,      3.564e+01,        3.287e-01,        1.982e-01,  1.250e-01,  
  16,      3.556e+01,        2.660e-01,        1.604e-01,  3.906e-03,  
  17,      3.396e+01,        2.165e-01,        1.306e-01,  1.000e+00,  
  18,      3.302e+01,        2.509e-01,        1.513e-01,  1.000e+00,  
  19,      3.301e+01,        2.324e-01,        1.401e-01,  7.812e-03,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  20,      3.301e+01,        2.067e-01,        1.246e-01,  3.906e-03,  
  21,      3.270e+01,        1.977e-01,        1.192e-01,  1.000e+00,  
  22,      3.269e+01,        1.894e-01,        1.142e-01,  3.906e-03,  
  23,      3.255e+01,        2.080e-01,        1.254e-01,  1.000e+00,  
  24,      3.253e+01,        2.105e-01,        1.269e-01,  1.562e-02,  
  25,      3.253e+01,        2.090e-01,        1.260e-01,  4.883e-04,  
  26,      3.244e+01,        2.054e-01,        1.238e-01,  1.000e+00,  
  27,      3.242e+01,        1.997e-01,        1.204e-01,  1.562e-02,  
