
iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

   0,      5.230e+01,        1.000e+00,        1.984e-01,  1.000e+00,  

   1,      4.912e+01,        1.110e+00,        2.203e-01,  1.000e+00,  
   2,      4.893e+01,        9.813e-01,        1.947e-01,  7.812e-03,  
   3,      4.851e+01,        7.284e-01,        1.445e-01,  3.906e-03,  
   4,      4.738e+01,        8.414e-01,        1.669e-01,  1.000e+00,  
   5,      4.732e+01,        7.705e-01,        1.529e-01,  3.125e-02,  
   6,      4.672e+01,        8.493e-01,        1.685e-01,  1.000e+00,  
   7,      4.639e+01,        9.093e-01,        1.804e-01,  1.000e+00,  
   8,      4.608e+01,        1.155e+00,        2.292e-01,  1.000e+00,  
   9,      4.451e+01,        7.466e-01,        1.481e-01,  1.953e-03,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  10,      4.444e+01,        1.028e+00,        2.039e-01,  1.000e+00,  
  11,      4.365e+01,        7.803e-01,        1.548e-01,  3.906e-03,  
  12,      4.357e+01,        1.017e+00,        2.018e-01,  1.000e+00,  
  13,      4.293e+01,        7.563e-01,        1.500e-01,  3.906e-03,  
  14,      4.292e+01,        7.238e-01,        1.436e-01,  1.953e-03,  
  15,      4.205e+01,        7.562e-01,        1.500e-01,  1.000e+00,  
  16,      4.194e+01,        8.291e-01,        1.645e-01,  1.000e+00,  
  17,      4.181e+01,        8.645e-01,        1.715e-01,  7.812e-03,  
  18,      4.179e+01,        7.735e-01,        1.534e-01,  1.953e-03,  
  19,      4.115e+01,        8.448e-01,        1.676e-01,  1.000e+00,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  20,      4.110e+01,        8.107e-01,        1.608e-01,  1.953e-03,  
  21,      4.084e+01,        7.673e-01,        1.522e-01,  1.000e+00,  
  22,      4.083e+01,        8.983e-01,        1.782e-01,  1.000e+00,  
  23,      4.072e+01,        8.813e-01,        1.748e-01,  7.812e-03,  
  24,      4.065e+01,        6.993e-01,        1.387e-01,  3.906e-03,  
  25,      4.010e+01,        7.866e-01,        1.561e-01,  1.000e+00,  
  26,      3.997e+01,        6.417e-01,        1.273e-01,  7.812e-03,  
  27,      3.958e+01,        8.383e-01,        1.663e-01,  1.000e+00,  
  28,      3.955e+01,        7.610e-01,        1.510e-01,  7.812e-03,  
  29,      3.938e+01,        8.420e-01,        1.670e-01,  1.000e+00,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  30,      3.927e+01,        7.440e-01,        1.476e-01,  3.906e-03,  
